Question_No,Question,Acceptance,isPremium,Difficulty,Question_Link,Solution
680, Valid Palindrome II,41.40%,FALSE,Easy,https://leetcode.com/problems/valid-palindrome-ii/description,https://leetcode.com/problems/valid-palindrome-ii/solutions
681, Next Closest Time,46.80%,TRUE,Medium,https://leetcode.com/problems/next-closest-time/description,https://leetcode.com/problems/next-closest-time/solutions
682, Baseball Game,77.30%,FALSE,Easy,https://leetcode.com/problems/baseball-game/description,https://leetcode.com/problems/baseball-game/solutions
683, K Empty Slots,37.20%,TRUE,Hard,https://leetcode.com/problems/k-empty-slots/description,https://leetcode.com/problems/k-empty-slots/solutions
684, Redundant Connection,63.50%,FALSE,Medium,https://leetcode.com/problems/redundant-connection/description,https://leetcode.com/problems/redundant-connection/solutions
685, Redundant Connection II,34.60%,FALSE,Hard,https://leetcode.com/problems/redundant-connection-ii/description,https://leetcode.com/problems/redundant-connection-ii/solutions
686, Repeated String Match,35.60%,FALSE,Medium,https://leetcode.com/problems/repeated-string-match/description,https://leetcode.com/problems/repeated-string-match/solutions
687, Longest Univalue Path,41.90%,FALSE,Medium,https://leetcode.com/problems/longest-univalue-path/description,https://leetcode.com/problems/longest-univalue-path/solutions
688, Knight Probability in Chessboard,56.30%,FALSE,Medium,https://leetcode.com/problems/knight-probability-in-chessboard/description,https://leetcode.com/problems/knight-probability-in-chessboard/solutions
689, Maximum Sum of 3 Non-Overlapping Subarrays,50.30%,FALSE,Hard,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/description,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/solutions
690, Employee Importance,67.50%,FALSE,Medium,https://leetcode.com/problems/employee-importance/description,https://leetcode.com/problems/employee-importance/solutions
691, Stickers to Spell Word,49.20%,FALSE,Hard,https://leetcode.com/problems/stickers-to-spell-word/description,https://leetcode.com/problems/stickers-to-spell-word/solutions
692, Top K Frequent Words,58.50%,FALSE,Medium,https://leetcode.com/problems/top-k-frequent-words/description,https://leetcode.com/problems/top-k-frequent-words/solutions
693, Binary Number with Alternating Bits,62.90%,FALSE,Easy,https://leetcode.com/problems/binary-number-with-alternating-bits/description,https://leetcode.com/problems/binary-number-with-alternating-bits/solutions
694, Number of Distinct Islands,61.60%,TRUE,Medium,https://leetcode.com/problems/number-of-distinct-islands/description,https://leetcode.com/problems/number-of-distinct-islands/solutions
695, Max Area of Island,72.50%,FALSE,Medium,https://leetcode.com/problems/max-area-of-island/description,https://leetcode.com/problems/max-area-of-island/solutions
696, Count Binary Substrings,65.70%,FALSE,Easy,https://leetcode.com/problems/count-binary-substrings/description,https://leetcode.com/problems/count-binary-substrings/solutions
697, Degree of an Array,56.80%,FALSE,Easy,https://leetcode.com/problems/degree-of-an-array/description,https://leetcode.com/problems/degree-of-an-array/solutions
698, Partition to K Equal Sum Subsets,38.20%,FALSE,Medium,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/description,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/solutions
699, Falling Squares,45.50%,FALSE,Hard,https://leetcode.com/problems/falling-squares/description,https://leetcode.com/problems/falling-squares/solutions
700, Search in a Binary Search Tree,80.60%,FALSE,Easy,https://leetcode.com/problems/search-in-a-binary-search-tree/description,https://leetcode.com/problems/search-in-a-binary-search-tree/solutions
701, Insert into a Binary Search Tree,73.70%,FALSE,Medium,https://leetcode.com/problems/insert-into-a-binary-search-tree/description,https://leetcode.com/problems/insert-into-a-binary-search-tree/solutions
702, Search in a Sorted Array of Unknown Size,72.30%,TRUE,Medium,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/description,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/solutions
703, Kth Largest Element in a Stream,59.30%,FALSE,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/description,https://leetcode.com/problems/kth-largest-element-in-a-stream/solutions
704, Binary Search,58.40%,FALSE,Easy,https://leetcode.com/problems/binary-search/description,https://leetcode.com/problems/binary-search/solutions
705, Design HashSet,67.10%,FALSE,Easy,https://leetcode.com/problems/design-hashset/description,https://leetcode.com/problems/design-hashset/solutions
706, Design HashMap,65.60%,FALSE,Easy,https://leetcode.com/problems/design-hashmap/description,https://leetcode.com/problems/design-hashmap/solutions
707, Design Linked List,28.50%,FALSE,Medium,https://leetcode.com/problems/design-linked-list/description,https://leetcode.com/problems/design-linked-list/solutions
708, Insert into a Sorted Circular Linked List,36.60%,TRUE,Medium,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/description,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/solutions
709, To Lower Case,83.70%,FALSE,Easy,https://leetcode.com/problems/to-lower-case/description,https://leetcode.com/problems/to-lower-case/solutions
710, Random Pick with Blacklist,33.60%,FALSE,Hard,https://leetcode.com/problems/random-pick-with-blacklist/description,https://leetcode.com/problems/random-pick-with-blacklist/solutions
711, Number of Distinct Islands II,53.20%,TRUE,Hard,https://leetcode.com/problems/number-of-distinct-islands-ii/description,https://leetcode.com/problems/number-of-distinct-islands-ii/solutions
712, Minimum ASCII Delete Sum for Two Strings,65.30%,FALSE,Medium,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/description,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/solutions
713, Subarray Product Less Than K,51.80%,FALSE,Medium,https://leetcode.com/problems/subarray-product-less-than-k/description,https://leetcode.com/problems/subarray-product-less-than-k/solutions
714, Best Time to Buy and Sell Stock with Transaction Fee,69.30%,FALSE,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/solutions
715, Range Module,43.90%,FALSE,Hard,https://leetcode.com/problems/range-module/description,https://leetcode.com/problems/range-module/solutions
716, Max Stack,45.10%,TRUE,Hard,https://leetcode.com/problems/max-stack/description,https://leetcode.com/problems/max-stack/solutions
717, 1-bit and 2-bit Characters,45.20%,FALSE,Easy,https://leetcode.com/problems/1-bit-and-2-bit-characters/description,https://leetcode.com/problems/1-bit-and-2-bit-characters/solutions
718, Maximum Length of Repeated Subarray,51.00%,FALSE,Medium,https://leetcode.com/problems/maximum-length-of-repeated-subarray/description,https://leetcode.com/problems/maximum-length-of-repeated-subarray/solutions
719, Find K-th Smallest Pair Distance,45.30%,FALSE,Hard,https://leetcode.com/problems/find-k-th-smallest-pair-distance/description,https://leetcode.com/problems/find-k-th-smallest-pair-distance/solutions
720, Longest Word in Dictionary,52.80%,FALSE,Medium,https://leetcode.com/problems/longest-word-in-dictionary/description,https://leetcode.com/problems/longest-word-in-dictionary/solutions
721, Accounts Merge,57.90%,FALSE,Medium,https://leetcode.com/problems/accounts-merge/description,https://leetcode.com/problems/accounts-merge/solutions
722, Remove Comments,38.90%,FALSE,Medium,https://leetcode.com/problems/remove-comments/description,https://leetcode.com/problems/remove-comments/solutions
723, Candy Crush,77.00%,TRUE,Medium,https://leetcode.com/problems/candy-crush/description,https://leetcode.com/problems/candy-crush/solutions
724, Find Pivot Index,58.70%,FALSE,Easy,https://leetcode.com/problems/find-pivot-index/description,https://leetcode.com/problems/find-pivot-index/solutions
725, Split Linked List in Parts,70.00%,FALSE,Medium,https://leetcode.com/problems/split-linked-list-in-parts/description,https://leetcode.com/problems/split-linked-list-in-parts/solutions
726, Number of Atoms,65.20%,FALSE,Hard,https://leetcode.com/problems/number-of-atoms/description,https://leetcode.com/problems/number-of-atoms/solutions
727, Minimum Window Subsequence,43.50%,TRUE,Hard,https://leetcode.com/problems/minimum-window-subsequence/description,https://leetcode.com/problems/minimum-window-subsequence/solutions
728, Self Dividing Numbers,79.00%,FALSE,Easy,https://leetcode.com/problems/self-dividing-numbers/description,https://leetcode.com/problems/self-dividing-numbers/solutions
729, My Calendar I,56.60%,FALSE,Medium,https://leetcode.com/problems/my-calendar-i/description,https://leetcode.com/problems/my-calendar-i/solutions
730, Count Different Palindromic Subsequences,46.00%,FALSE,Hard,https://leetcode.com/problems/count-different-palindromic-subsequences/description,https://leetcode.com/problems/count-different-palindromic-subsequences/solutions
731, My Calendar II,55.90%,FALSE,Medium,https://leetcode.com/problems/my-calendar-ii/description,https://leetcode.com/problems/my-calendar-ii/solutions
732, My Calendar III,71.70%,FALSE,Hard,https://leetcode.com/problems/my-calendar-iii/description,https://leetcode.com/problems/my-calendar-iii/solutions
733, Flood Fill,64.90%,FALSE,Easy,https://leetcode.com/problems/flood-fill/description,https://leetcode.com/problems/flood-fill/solutions
734, Sentence Similarity,44.40%,TRUE,Easy,https://leetcode.com/problems/sentence-similarity/description,https://leetcode.com/problems/sentence-similarity/solutions
735, Asteroid Collision,44.70%,FALSE,Medium,https://leetcode.com/problems/asteroid-collision/description,https://leetcode.com/problems/asteroid-collision/solutions
736, Parse Lisp Expression,52.00%,FALSE,Hard,https://leetcode.com/problems/parse-lisp-expression/description,https://leetcode.com/problems/parse-lisp-expression/solutions
737, Sentence Similarity II,50.20%,TRUE,Medium,https://leetcode.com/problems/sentence-similarity-ii/description,https://leetcode.com/problems/sentence-similarity-ii/solutions
738, Monotone Increasing Digits,48.40%,FALSE,Medium,https://leetcode.com/problems/monotone-increasing-digits/description,https://leetcode.com/problems/monotone-increasing-digits/solutions
739, Daily Temperatures,66.40%,FALSE,Medium,https://leetcode.com/problems/daily-temperatures/description,https://leetcode.com/problems/daily-temperatures/solutions
740, Delete and Earn,56.50%,FALSE,Medium,https://leetcode.com/problems/delete-and-earn/description,https://leetcode.com/problems/delete-and-earn/solutions
741, Cherry Pickup,37.30%,FALSE,Hard,https://leetcode.com/problems/cherry-pickup/description,https://leetcode.com/problems/cherry-pickup/solutions
742, Closest Leaf in a Binary Tree,46.50%,TRUE,Medium,https://leetcode.com/problems/closest-leaf-in-a-binary-tree/description,https://leetcode.com/problems/closest-leaf-in-a-binary-tree/solutions
743, Network Delay Time,55.10%,FALSE,Medium,https://leetcode.com/problems/network-delay-time/description,https://leetcode.com/problems/network-delay-time/solutions
744, Find Smallest Letter Greater Than Target,52.80%,FALSE,Easy,https://leetcode.com/problems/find-smallest-letter-greater-than-target/description,https://leetcode.com/problems/find-smallest-letter-greater-than-target/solutions
745, Prefix and Suffix Search,41.10%,FALSE,Hard,https://leetcode.com/problems/prefix-and-suffix-search/description,https://leetcode.com/problems/prefix-and-suffix-search/solutions
746, Min Cost Climbing Stairs,66.30%,FALSE,Easy,https://leetcode.com/problems/min-cost-climbing-stairs/description,https://leetcode.com/problems/min-cost-climbing-stairs/solutions
747, Largest Number At Least Twice of Others,49.50%,FALSE,Easy,https://leetcode.com/problems/largest-number-at-least-twice-of-others/description,https://leetcode.com/problems/largest-number-at-least-twice-of-others/solutions
748, Shortest Completing Word,60.50%,FALSE,Easy,https://leetcode.com/problems/shortest-completing-word/description,https://leetcode.com/problems/shortest-completing-word/solutions
749, Contain Virus,51.60%,FALSE,Hard,https://leetcode.com/problems/contain-virus/description,https://leetcode.com/problems/contain-virus/solutions
750, Number Of Corner Rectangles,67.80%,TRUE,Medium,https://leetcode.com/problems/number-of-corner-rectangles/description,https://leetcode.com/problems/number-of-corner-rectangles/solutions
751, IP to CIDR,55.60%,TRUE,Medium,https://leetcode.com/problems/ip-to-cidr/description,https://leetcode.com/problems/ip-to-cidr/solutions
752, Open the Lock,60.40%,FALSE,Medium,https://leetcode.com/problems/open-the-lock/description,https://leetcode.com/problems/open-the-lock/solutions
753, Cracking the Safe,57.20%,FALSE,Hard,https://leetcode.com/problems/cracking-the-safe/description,https://leetcode.com/problems/cracking-the-safe/solutions
754, Reach a Number,43.40%,FALSE,Medium,https://leetcode.com/problems/reach-a-number/description,https://leetcode.com/problems/reach-a-number/solutions
755, Pour Water,47.20%,TRUE,Medium,https://leetcode.com/problems/pour-water/description,https://leetcode.com/problems/pour-water/solutions
756, Pyramid Transition Matrix,52.90%,FALSE,Medium,https://leetcode.com/problems/pyramid-transition-matrix/description,https://leetcode.com/problems/pyramid-transition-matrix/solutions
757, Set Intersection Size At Least Two,44.70%,FALSE,Hard,https://leetcode.com/problems/set-intersection-size-at-least-two/description,https://leetcode.com/problems/set-intersection-size-at-least-two/solutions
758, Bold Words in String,51.60%,TRUE,Medium,https://leetcode.com/problems/bold-words-in-string/description,https://leetcode.com/problems/bold-words-in-string/solutions
759, Employee Free Time,72.30%,TRUE,Hard,https://leetcode.com/problems/employee-free-time/description,https://leetcode.com/problems/employee-free-time/solutions
760, Find Anagram Mappings,83.70%,TRUE,Easy,https://leetcode.com/problems/find-anagram-mappings/description,https://leetcode.com/problems/find-anagram-mappings/solutions
761, Special Binary String,61.80%,FALSE,Hard,https://leetcode.com/problems/special-binary-string/description,https://leetcode.com/problems/special-binary-string/solutions
762, Prime Number of Set Bits in Binary Representation,70.00%,FALSE,Easy,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/description,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/solutions
763, Partition Labels,80.00%,FALSE,Medium,https://leetcode.com/problems/partition-labels/description,https://leetcode.com/problems/partition-labels/solutions
764, Largest Plus Sign,48.50%,FALSE,Medium,https://leetcode.com/problems/largest-plus-sign/description,https://leetcode.com/problems/largest-plus-sign/solutions
765, Couples Holding Hands,57.60%,FALSE,Hard,https://leetcode.com/problems/couples-holding-hands/description,https://leetcode.com/problems/couples-holding-hands/solutions
766, Toeplitz Matrix,69.10%,FALSE,Easy,https://leetcode.com/problems/toeplitz-matrix/description,https://leetcode.com/problems/toeplitz-matrix/solutions
767, Reorganize String,55.00%,FALSE,Medium,https://leetcode.com/problems/reorganize-string/description,https://leetcode.com/problems/reorganize-string/solutions
768, Max Chunks To Make Sorted II,53.40%,FALSE,Hard,https://leetcode.com/problems/max-chunks-to-make-sorted-ii/description,https://leetcode.com/problems/max-chunks-to-make-sorted-ii/solutions
769, Max Chunks To Make Sorted,58.60%,FALSE,Medium,https://leetcode.com/problems/max-chunks-to-make-sorted/description,https://leetcode.com/problems/max-chunks-to-make-sorted/solutions
800, Similar RGB Color,67.60%,TRUE,Easy,https://leetcode.com/problems/similar-rgb-color/description,https://leetcode.com/problems/similar-rgb-color/solutions
801, Minimum Swaps To Make Sequences Increasing,40.30%,FALSE,Hard,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/description,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/solutions
802, Find Eventual Safe States,64.20%,FALSE,Medium,https://leetcode.com/problems/find-eventual-safe-states/description,https://leetcode.com/problems/find-eventual-safe-states/solutions
803, Bricks Falling When Hit,35.00%,FALSE,Hard,https://leetcode.com/problems/bricks-falling-when-hit/description,https://leetcode.com/problems/bricks-falling-when-hit/solutions
804, Unique Morse Code Words,83.00%,FALSE,Easy,https://leetcode.com/problems/unique-morse-code-words/description,https://leetcode.com/problems/unique-morse-code-words/solutions
805, Split Array With Same Average,25.60%,FALSE,Hard,https://leetcode.com/problems/split-array-with-same-average/description,https://leetcode.com/problems/split-array-with-same-average/solutions
806, Number of Lines To Write String,69.20%,FALSE,Easy,https://leetcode.com/problems/number-of-lines-to-write-string/description,https://leetcode.com/problems/number-of-lines-to-write-string/solutions
807, Max Increase to Keep City Skyline,86.20%,FALSE,Medium,https://leetcode.com/problems/max-increase-to-keep-city-skyline/description,https://leetcode.com/problems/max-increase-to-keep-city-skyline/solutions
808, Soup Servings,53.80%,FALSE,Medium,https://leetcode.com/problems/soup-servings/description,https://leetcode.com/problems/soup-servings/solutions
809, Expressive Words,46.20%,FALSE,Medium,https://leetcode.com/problems/expressive-words/description,https://leetcode.com/problems/expressive-words/solutions
810, Chalkboard XOR Game,61.10%,FALSE,Hard,https://leetcode.com/problems/chalkboard-xor-game/description,https://leetcode.com/problems/chalkboard-xor-game/solutions
811, Subdomain Visit Count,76.50%,FALSE,Medium,https://leetcode.com/problems/subdomain-visit-count/description,https://leetcode.com/problems/subdomain-visit-count/solutions
812, Largest Triangle Area,61.10%,FALSE,Easy,https://leetcode.com/problems/largest-triangle-area/description,https://leetcode.com/problems/largest-triangle-area/solutions
813, Largest Sum of Averages,53.80%,FALSE,Medium,https://leetcode.com/problems/largest-sum-of-averages/description,https://leetcode.com/problems/largest-sum-of-averages/solutions
814, Binary Tree Pruning,72.30%,FALSE,Medium,https://leetcode.com/problems/binary-tree-pruning/description,https://leetcode.com/problems/binary-tree-pruning/solutions
815, Bus Routes,47.50%,FALSE,Hard,https://leetcode.com/problems/bus-routes/description,https://leetcode.com/problems/bus-routes/solutions
816, Ambiguous Coordinates,56.90%,FALSE,Medium,https://leetcode.com/problems/ambiguous-coordinates/description,https://leetcode.com/problems/ambiguous-coordinates/solutions
817, Linked List Components,57.00%,FALSE,Medium,https://leetcode.com/problems/linked-list-components/description,https://leetcode.com/problems/linked-list-components/solutions
818, Race Car,43.80%,FALSE,Hard,https://leetcode.com/problems/race-car/description,https://leetcode.com/problems/race-car/solutions
819, Most Common Word,44.40%,FALSE,Easy,https://leetcode.com/problems/most-common-word/description,https://leetcode.com/problems/most-common-word/solutions
820, Short Encoding of Words,60.50%,FALSE,Medium,https://leetcode.com/problems/short-encoding-of-words/description,https://leetcode.com/problems/short-encoding-of-words/solutions
821, Shortest Distance to a Character,71.80%,FALSE,Easy,https://leetcode.com/problems/shortest-distance-to-a-character/description,https://leetcode.com/problems/shortest-distance-to-a-character/solutions
822, Card Flipping Game,48.10%,FALSE,Medium,https://leetcode.com/problems/card-flipping-game/description,https://leetcode.com/problems/card-flipping-game/solutions
823, Binary Trees With Factors,52.90%,FALSE,Medium,https://leetcode.com/problems/binary-trees-with-factors/description,https://leetcode.com/problems/binary-trees-with-factors/solutions
824, Goat Latin,68.60%,FALSE,Easy,https://leetcode.com/problems/goat-latin/description,https://leetcode.com/problems/goat-latin/solutions
825, Friends Of Appropriate Ages,48.00%,FALSE,Medium,https://leetcode.com/problems/friends-of-appropriate-ages/description,https://leetcode.com/problems/friends-of-appropriate-ages/solutions
826, Most Profit Assigning Work,55.90%,FALSE,Medium,https://leetcode.com/problems/most-profit-assigning-work/description,https://leetcode.com/problems/most-profit-assigning-work/solutions
827, Making A Large Island,48.60%,FALSE,Hard,https://leetcode.com/problems/making-a-large-island/description,https://leetcode.com/problems/making-a-large-island/solutions
828, Count Unique Characters of All Substrings of a Given String,52.70%,FALSE,Hard,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/description,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/solutions
829, Consecutive Numbers Sum,41.90%,FALSE,Hard,https://leetcode.com/problems/consecutive-numbers-sum/description,https://leetcode.com/problems/consecutive-numbers-sum/solutions
830, Positions of Large Groups,52.50%,FALSE,Easy,https://leetcode.com/problems/positions-of-large-groups/description,https://leetcode.com/problems/positions-of-large-groups/solutions
831, Masking Personal Information,49.60%,FALSE,Medium,https://leetcode.com/problems/masking-personal-information/description,https://leetcode.com/problems/masking-personal-information/solutions
832, Flipping an Image,82.40%,FALSE,Easy,https://leetcode.com/problems/flipping-an-image/description,https://leetcode.com/problems/flipping-an-image/solutions
833, Find And Replace in String,52.10%,FALSE,Medium,https://leetcode.com/problems/find-and-replace-in-string/description,https://leetcode.com/problems/find-and-replace-in-string/solutions
834, Sum of Distances in Tree,65.30%,FALSE,Hard,https://leetcode.com/problems/sum-of-distances-in-tree/description,https://leetcode.com/problems/sum-of-distances-in-tree/solutions
835, Image Overlap,63.70%,FALSE,Medium,https://leetcode.com/problems/image-overlap/description,https://leetcode.com/problems/image-overlap/solutions
836, Rectangle Overlap,45.10%,FALSE,Easy,https://leetcode.com/problems/rectangle-overlap/description,https://leetcode.com/problems/rectangle-overlap/solutions
837, New 21 Game,45.00%,FALSE,Medium,https://leetcode.com/problems/new-21-game/description,https://leetcode.com/problems/new-21-game/solutions
838, Push Dominoes,57.20%,FALSE,Medium,https://leetcode.com/problems/push-dominoes/description,https://leetcode.com/problems/push-dominoes/solutions
839, Similar String Groups,55.10%,FALSE,Hard,https://leetcode.com/problems/similar-string-groups/description,https://leetcode.com/problems/similar-string-groups/solutions
840, Magic Squares In Grid,51.70%,FALSE,Medium,https://leetcode.com/problems/magic-squares-in-grid/description,https://leetcode.com/problems/magic-squares-in-grid/solutions
841, Keys and Rooms,73.60%,FALSE,Medium,https://leetcode.com/problems/keys-and-rooms/description,https://leetcode.com/problems/keys-and-rooms/solutions
842, Split Array into Fibonacci Sequence,39.20%,FALSE,Medium,https://leetcode.com/problems/split-array-into-fibonacci-sequence/description,https://leetcode.com/problems/split-array-into-fibonacci-sequence/solutions
843, Guess the Word,38.60%,FALSE,Hard,https://leetcode.com/problems/guess-the-word/description,https://leetcode.com/problems/guess-the-word/solutions
844, Backspace String Compare,49.30%,FALSE,Easy,https://leetcode.com/problems/backspace-string-compare/description,https://leetcode.com/problems/backspace-string-compare/solutions
845, Longest Mountain in Array,40.60%,FALSE,Medium,https://leetcode.com/problems/longest-mountain-in-array/description,https://leetcode.com/problems/longest-mountain-in-array/solutions
846, Hand of Straights,56.80%,FALSE,Medium,https://leetcode.com/problems/hand-of-straights/description,https://leetcode.com/problems/hand-of-straights/solutions
847, Shortest Path Visiting All Nodes,65.40%,FALSE,Hard,https://leetcode.com/problems/shortest-path-visiting-all-nodes/description,https://leetcode.com/problems/shortest-path-visiting-all-nodes/solutions
848, Shifting Letters,44.80%,FALSE,Medium,https://leetcode.com/problems/shifting-letters/description,https://leetcode.com/problems/shifting-letters/solutions
849, Maximize Distance to Closest Person,48.30%,FALSE,Medium,https://leetcode.com/problems/maximize-distance-to-closest-person/description,https://leetcode.com/problems/maximize-distance-to-closest-person/solutions
850, Rectangle Area II,54.30%,FALSE,Hard,https://leetcode.com/problems/rectangle-area-ii/description,https://leetcode.com/problems/rectangle-area-ii/solutions
851, Loud and Rich,60.20%,FALSE,Medium,https://leetcode.com/problems/loud-and-rich/description,https://leetcode.com/problems/loud-and-rich/solutions
852, Peak Index in a Mountain Array,68.20%,FALSE,Medium,https://leetcode.com/problems/peak-index-in-a-mountain-array/description,https://leetcode.com/problems/peak-index-in-a-mountain-array/solutions
853, Car Fleet,51.90%,FALSE,Medium,https://leetcode.com/problems/car-fleet/description,https://leetcode.com/problems/car-fleet/solutions
854, K-Similar Strings,40.00%,FALSE,Hard,https://leetcode.com/problems/k-similar-strings/description,https://leetcode.com/problems/k-similar-strings/solutions
855, Exam Room,43.60%,FALSE,Medium,https://leetcode.com/problems/exam-room/description,https://leetcode.com/problems/exam-room/solutions
856, Score of Parentheses,64.00%,FALSE,Medium,https://leetcode.com/problems/score-of-parentheses/description,https://leetcode.com/problems/score-of-parentheses/solutions
857, Minimum Cost to Hire K Workers,63.50%,FALSE,Hard,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/description,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/solutions
858, Mirror Reflection,62.40%,FALSE,Medium,https://leetcode.com/problems/mirror-reflection/description,https://leetcode.com/problems/mirror-reflection/solutions
859, Buddy Strings,33.20%,FALSE,Easy,https://leetcode.com/problems/buddy-strings/description,https://leetcode.com/problems/buddy-strings/solutions
860, Lemonade Change,58.30%,FALSE,Easy,https://leetcode.com/problems/lemonade-change/description,https://leetcode.com/problems/lemonade-change/solutions
861, Score After Flipping Matrix,80.40%,FALSE,Medium,https://leetcode.com/problems/score-after-flipping-matrix/description,https://leetcode.com/problems/score-after-flipping-matrix/solutions
862, Shortest Subarray with Sum at Least K,26.20%,FALSE,Hard,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/description,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/solutions
863, All Nodes Distance K in Binary Tree,65.00%,FALSE,Medium,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/description,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/solutions
864, Shortest Path to Get All Keys,53.50%,FALSE,Hard,https://leetcode.com/problems/shortest-path-to-get-all-keys/description,https://leetcode.com/problems/shortest-path-to-get-all-keys/solutions
865, Smallest Subtree with all the Deepest Nodes,71.00%,FALSE,Medium,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/description,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/solutions
866, Prime Palindrome,26.20%,FALSE,Medium,https://leetcode.com/problems/prime-palindrome/description,https://leetcode.com/problems/prime-palindrome/solutions
867, Transpose Matrix,72.50%,FALSE,Easy,https://leetcode.com/problems/transpose-matrix/description,https://leetcode.com/problems/transpose-matrix/solutions
868, Binary Gap,64.00%,FALSE,Easy,https://leetcode.com/problems/binary-gap/description,https://leetcode.com/problems/binary-gap/solutions
869, Reordered Power of 2,62.60%,FALSE,Medium,https://leetcode.com/problems/reordered-power-of-2/description,https://leetcode.com/problems/reordered-power-of-2/solutions
870, Advantage Shuffle,52.80%,FALSE,Medium,https://leetcode.com/problems/advantage-shuffle/description,https://leetcode.com/problems/advantage-shuffle/solutions
871, Minimum Number of Refueling Stops,40.20%,FALSE,Hard,https://leetcode.com/problems/minimum-number-of-refueling-stops/description,https://leetcode.com/problems/minimum-number-of-refueling-stops/solutions
872, Leaf-Similar Trees,70.10%,FALSE,Easy,https://leetcode.com/problems/leaf-similar-trees/description,https://leetcode.com/problems/leaf-similar-trees/solutions
873, Length of Longest Fibonacci Subsequence,48.50%,FALSE,Medium,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/description,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/solutions
874, Walking Robot Simulation,57.90%,FALSE,Medium,https://leetcode.com/problems/walking-robot-simulation/description,https://leetcode.com/problems/walking-robot-simulation/solutions
875, Koko Eating Bananas,48.40%,FALSE,Medium,https://leetcode.com/problems/koko-eating-bananas/description,https://leetcode.com/problems/koko-eating-bananas/solutions
876, Middle of the Linked List,79.30%,FALSE,Easy,https://leetcode.com/problems/middle-of-the-linked-list/description,https://leetcode.com/problems/middle-of-the-linked-list/solutions
877, Stone Game,71.10%,FALSE,Medium,https://leetcode.com/problems/stone-game/description,https://leetcode.com/problems/stone-game/solutions
878, Nth Magical Number,35.60%,FALSE,Hard,https://leetcode.com/problems/nth-magical-number/description,https://leetcode.com/problems/nth-magical-number/solutions
879, Profitable Schemes,48.20%,FALSE,Hard,https://leetcode.com/problems/profitable-schemes/description,https://leetcode.com/problems/profitable-schemes/solutions
880, Decoded String at Index,36.50%,FALSE,Medium,https://leetcode.com/problems/decoded-string-at-index/description,https://leetcode.com/problems/decoded-string-at-index/solutions
881, Boats to Save People,59.60%,FALSE,Medium,https://leetcode.com/problems/boats-to-save-people/description,https://leetcode.com/problems/boats-to-save-people/solutions
882, Reachable Nodes In Subdivided Graph,50.60%,FALSE,Hard,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/description,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/solutions
883, Projection Area of 3D Shapes,73.30%,FALSE,Easy,https://leetcode.com/problems/projection-area-of-3d-shapes/description,https://leetcode.com/problems/projection-area-of-3d-shapes/solutions
884, Uncommon Words from Two Sentences,75.10%,FALSE,Easy,https://leetcode.com/problems/uncommon-words-from-two-sentences/description,https://leetcode.com/problems/uncommon-words-from-two-sentences/solutions
885, Spiral Matrix III,84.60%,FALSE,Medium,https://leetcode.com/problems/spiral-matrix-iii/description,https://leetcode.com/problems/spiral-matrix-iii/solutions
886, Possible Bipartition,50.80%,FALSE,Medium,https://leetcode.com/problems/possible-bipartition/description,https://leetcode.com/problems/possible-bipartition/solutions
887, Super Egg Drop,28.00%,FALSE,Hard,https://leetcode.com/problems/super-egg-drop/description,https://leetcode.com/problems/super-egg-drop/solutions
888, Fair Candy Swap,62.20%,FALSE,Easy,https://leetcode.com/problems/fair-candy-swap/description,https://leetcode.com/problems/fair-candy-swap/solutions
